Tab                              0x0009
NewLine                          0x000A
excl                             0x0021
quot                             0x0022
QUOT                             0x0022
num                              0x0023
dollar                           0x0024
percnt                           0x0025
amp                              0x0026
AMP                              0x0026
apos                             0x0027
lpar                             0x0028
rpar                             0x0029
ast                              0x002A
midast                           0x002A
plus                             0x002B
comma                            0x002C
period                           0x002E
sol                              0x002F
colon                            0x003A
semi                             0x003B
lt                               0x003C
LT                               0x003C
equals                           0x003D
gt                               0x003E
GT                               0x003E
quest                            0x003F
commat                           0x0040
lsqb                             0x005B
lbrack                           0x005B
bsol                             0x005C
rsqb                             0x005D
rbrack                           0x005D
Hat                              0x005E
lowbar                           0x005F
UnderBar                         0x005F
grave                            0x0060
DiacriticalGrave                 0x0060
lcub                             0x007B
lbrace                           0x007B
verbar                           0x007C
vert                             0x007C
VerticalLine                     0x007C
rcub                             0x007D
rbrace                           0x007D
nbsp                             0x00A0
NonBreakingSpace                 0x00A0
iexcl                            0x00A1
cent                             0x00A2
pound                            0x00A3
curren                           0x00A4
yen                              0x00A5
brvbar                           0x00A6
sect                             0x00A7
Dot                              0x00A8
die                              0x00A8
DoubleDot                        0x00A8
uml                              0x00A8
copy                             0x00A9
COPY                             0x00A9
ordf                             0x00AA
laquo                            0x00AB
not                              0x00AC
shy                              0x00AD
reg                              0x00AE
circledR                         0x00AE
REG                              0x00AE
macr                             0x00AF
strns                            0x00AF
deg                              0x00B0
plusmn                           0x00B1
pm                               0x00B1
PlusMinus                        0x00B1
sup2                             0x00B2
sup3                             0x00B3
acute                            0x00B4
DiacriticalAcute                 0x00B4
micro                            0x00B5
para                             0x00B6
middot                           0x00B7
centerdot                        0x00B7
CenterDot                        0x00B7
cedil                            0x00B8
Cedilla                          0x00B8
sup1                             0x00B9
ordm                             0x00BA
raquo                            0x00BB
frac14                           0x00BC
frac12                           0x00BD
half                             0x00BD
frac34                           0x00BE
iquest                           0x00BF
Agrave                           0x00C0
Aacute                           0x00C1
Acirc                            0x00C2
Atilde                           0x00C3
Auml                             0x00C4
Aring                            0x00C5
angst                            0x00C5
AElig                            0x00C6
Ccedil                           0x00C7
Egrave                           0x00C8
Eacute                           0x00C9
Ecirc                            0x00CA
Euml                             0x00CB
Igrave                           0x00CC
Iacute                           0x00CD
Icirc                            0x00CE
Iuml                             0x00CF
ETH                              0x00D0
Ntilde                           0x00D1
Ograve                           0x00D2
Oacute                           0x00D3
Ocirc                            0x00D4
Otilde                           0x00D5
Ouml                             0x00D6
times                            0x00D7
Oslash                           0x00D8
Ugrave                           0x00D9
Uacute                           0x00DA
Ucirc                            0x00DB
Uuml                             0x00DC
Yacute                           0x00DD
THORN                            0x00DE
szlig                            0x00DF
agrave                           0x00E0
aacute                           0x00E1
acirc                            0x00E2
atilde                           0x00E3
auml                             0x00E4
aring                            0x00E5
aelig                            0x00E6
